Timestamp,Longitude,Latitude,CellID,RSRP,RSRQ,SNR,CQI,DL_bitrate,UL_bitrate,Cluster
2017-11-30 16:16:14,-8.500061,51.893115,8,-105,-16,8.0,7,1677,70,0
2017-11-30 16:16:15,-8.500061,51.893115,8,-110,-16,4.0,7,1196,47,0
2017-11-30 16:16:17,-8.500061,51.893115,8,-110,-16,4.0,7,905,23,0
2017-11-30 16:16:18,-8.500061,51.893115,8,-107,-15,5.0,8,917,25,0
2017-11-30 16:16:19,-8.500061,51.893115,8,-107,-15,5.0,9,1375,29,0
2017-11-30 16:16:20,-8.500061,51.893115,8,-103,-15,6.0,9,2952,54,0
2017-11-30 16:16:21,-8.500061,51.893115,8,-103,-15,6.0,12,1375,25,0
2017-11-30 16:16:23,-8.500061,51.893115,8,-104,-16,6.0,8,2494,46,0
2017-11-30 16:16:24,-8.500061,51.893115,8,-104,-16,6.0,8,1364,25,0
2017-11-30 16:16:25,-8.500061,51.893115,8,-104,-15,6.0,8,2404,48,0
2017-11-30 16:16:27,-8.500061,51.893115,8,-104,-15,6.0,8,1241,24,0
2017-11-30 16:16:28,-8.500061,51.893115,8,-104,-16,6.0,8,1834,79,0
2017-11-30 16:16:29,-8.500061,51.893115,8,-104,-16,6.0,8,1521,61,0
2017-11-30 16:16:30,-8.500061,51.893115,8,-105,-15,5.0,8,1521,62,0
2017-11-30 16:16:32,-8.500061,51.893115,8,-105,-15,5.0,8,1576,29,0
2017-11-30 16:16:33,-8.500061,51.893115,8,-104,-15,5.0,8,1677,31,0
2017-11-30 16:16:34,-8.500061,51.893115,8,-104,-15,5.0,8,2549,47,0
2017-11-30 16:16:35,-8.500061,51.893115,8,-103,-16,5.0,8,3019,56,0
2017-11-30 16:16:36,-8.500061,51.893115,8,-103,-16,5.0,8,2359,61,0
2017-11-30 16:16:38,-8.500061,51.893115,8,-103,-16,6.0,8,917,18,0
2017-11-30 16:16:39,-8.500061,51.893115,8,-103,-16,6.0,8,1655,31,0
2017-11-30 16:16:40,-8.500061,51.893115,8,-104,-16,6.0,8,950,42,0
2017-11-30 16:16:41,-8.500061,51.893115,8,-104,-16,6.0,8,2147,40,0
2017-11-30 16:16:42,-8.500061,51.893115,8,-104,-16,6.0,8,2393,44,0
2017-11-30 16:16:44,-8.500061,51.893115,8,-104,-16,6.0,8,726,14,0
2017-11-30 16:16:45,-8.500061,51.893115,8,-104,-16,6.0,8,1867,55,0
